"matrix","x","y"
"1",0,-73.5
"1",-1,-72.5
"1",-2,-71.5
"1",-3,-70.5
"1",-4,-69.5
"1",-5,-68.5
"1",-6,-67.5
"1",-6,-66.5
"1",-6,-65.5
"1",-5,-64.5
"1",-4,-63.5
"1",-3,-62.5
"1",-2,-61.5
"1",-1,-60.5
"1",0,-59.5
"1",1,-58.5
"1",2,-57.5
"1",3,-56.5
"1",4,-55.5
"1",5,-54.5
"1",4,-53.5
"1",3,-52.5
"1",4,-51.5
"1",5,-50.5
"1",6,-49.5
"1",7,-48.5
"1",8,-47.5
"1",7,-46.5
"1",6,-45.5
"1",7,-44.5
"1",6,-43.5
"1",5,-42.5
"1",4,-41.5
"1",4,-40.5
"1",4,-39.5
"1",4,-38.5
"1",5,-37.5
"1",5,-36.5
"1",6,-35.5
"1",7,-34.5
"1",8,-33.5
"1",9,-32.5
"1",9,-31.5
"1",9,-30.5
"1",9,-29.5
"1",9,-28.5
"1",9,-27.5
"1",9,-26.5
"1",9,-25.5
"1",8,-24.5
"1",7,-23.5
"1",6,-22.5
"1",5,-21.5
"1",4,-20.5
"1",3,-19.5
"1",2,-18.5
"1",2,-17.5
"1",1,-16.5
"1",1,-15.5
"1",0,-14.5
"1",-1,-13.5
"1",-2,-12.5
"1",-3,-11.5
"1",-4,-10.5
"1",-5,-9.5
"1",-6,-8.5
"1",-7,-7.5
"1",-8,-6.5
"1",-9,-5.5
"1",-10,-4.5
"1",-11,-3.5
"1",-12,-2.5
"1",-13,-1.5
"1",-14,-0.5
"1",-15,0.5
"1",-16,1.5
"1",-17,2.5
"1",-17,3.5
"1",-17,4.5
"1",-17,5.5
"1",-17,6.5
"1",-17,7.5
"1",-18,8.5
"1",-19,9.5
"1",-19,10.5
"1",-19,11.5
"1",-19,12.5
"1",-19,13.5
"1",-19,14.5
"1",-19,15.5
"1",-19,16.5
"1",-19,17.5
"1",-19,18.5
"1",-19,19.5
"1",-19,20.5
"1",-19,21.5
"1",-19,22.5
"1",-19,23.5
"1",-18,24.5
"1",-17,25.5
"1",-17,26.5
"1",-17,27.5
"1",-17,28.5
"1",-16,29.5
"1",-16,30.5
"1",-16,31.5
"1",-16,32.5
"1",-16,33.5
"1",-16,34.5
"1",-16,35.5
"1",-16,36.5
"1",-16,37.5
"1",-16,38.5
"1",-16,39.5
"1",-16,40.5
"1",-16,41.5
"1",-16,42.5
"1",-17,43.5
"1",-18,44.5
"1",-19,45.5
"1",-19,46.5
"1",-18,47.5
"1",-17,48.5
"1",-16,49.5
"1",-15,50.5
"1",-14,51.5
"1",-13,52.5
"1",-12,53.5
"1",-11,54.5
"1",-10,55.5
"1",-9,56.5
"1",-8,57.5
"1",-7,58.5
"1",-6,59.5
"1",-5,59.5
"1",-4,59.5
"1",-3,59.5
"1",-2,58.5
"1",-1,57.5
"1",-1,56.5
"1",0,55.5
"1",0,54.5
"2",0,-73.5
"2",-1,-72.5
"2",-2,-71.5
"2",-3,-70.5
"2",-4,-69.5
"2",-5,-68.5
"2",-6,-67.5
"2",-6,-66.5
"2",-6,-65.5
"2",-5,-64.5
"2",-4,-63.5
"2",-3,-62.5
"2",-2,-61.5
"2",-1,-60.5
"2",0,-59.5
"2",1,-58.5
"2",2,-57.5
"2",3,-56.5
"2",4,-55.5
"2",5,-54.5
"2",4,-53.5
"2",3,-52.5
"2",4,-51.5
"2",5,-50.5
"2",6,-49.5
"2",7,-48.5
"2",8,-47.5
"2",7,-46.5
"2",6,-45.5
"2",6,-44.5
"2",5,-43.5
"2",5,-42.5
"2",5,-41.5
"2",5,-40.5
"2",5,-39.5
"2",5,-38.5
"2",5,-37.5
"2",5,-36.5
"2",5,-35.5
"2",6,-34.5
"2",7,-33.5
"2",8,-32.5
"2",8,-31.5
"2",8,-30.5
"2",8,-29.5
"2",8,-28.5
"2",8,-27.5
"2",8,-26.5
"2",8,-25.5
"2",8,-24.5
"2",7,-23.5
"2",6,-22.5
"2",5,-21.5
"2",4,-20.5
"2",3,-19.5
"2",2,-18.5
"2",2,-17.5
"2",1,-16.5
"2",1,-15.5
"2",0,-14.5
"2",-1,-13.5
"2",-2,-12.5
"2",-3,-11.5
"2",-4,-10.5
"2",-5,-9.5
"2",-6,-8.5
"2",-7,-7.5
"2",-8,-6.5
"2",-9,-5.5
"2",-10,-4.5
"2",-11,-3.5
"2",-12,-2.5
"2",-13,-1.5
"2",-14,-0.5
"2",-15,0.5
"2",-16,1.5
"2",-17,2.5
"2",-17,3.5
"2",-17,4.5
"2",-17,5.5
"2",-17,6.5
"2",-17,7.5
"2",-17,8.5
"2",-18,9.5
"2",-18,10.5
"2",-18,11.5
"2",-18,12.5
"2",-18,13.5
"2",-18,14.5
"2",-18,15.5
"2",-18,16.5
"2",-18,17.5
"2",-18,18.5
"2",-18,19.5
"2",-18,20.5
"2",-18,21.5
"2",-18,22.5
"2",-18,23.5
"2",-18,24.5
"2",-17,25.5
"2",-17,26.5
"2",-17,27.5
"2",-17,28.5
"2",-16,29.5
"2",-16,30.5
"2",-16,31.5
"2",-16,32.5
"2",-16,33.5
"2",-16,34.5
"2",-16,35.5
"2",-16,36.5
"2",-16,37.5
"2",-16,38.5
"2",-16,39.5
"2",-16,40.5
"2",-16,41.5
"2",-16,42.5
"2",-16,43.5
"2",-17,44.5
"2",-18,45.5
"2",-18,46.5
"2",-18,47.5
"2",-17,48.5
"2",-16,49.5
"2",-15,50.5
"2",-14,51.5
"2",-13,52.5
"2",-12,53.5
"2",-11,54.5
"2",-10,55.5
"2",-9,56.5
"2",-8,57.5
"2",-7,58.5
"2",-6,59.5
"2",-5,59.5
"2",-4,59.5
"2",-3,59.5
"2",-2,58.5
"2",-1,57.5
"2",-1,56.5
"2",0,55.5
"2",0,54.5
"3",0,-73.5
"3",-1,-72.5
"3",-2,-71.5
"3",-3,-70.5
"3",-4,-69.5
"3",-5,-68.5
"3",-6,-67.5
"3",-6,-66.5
"3",-5,-65.5
"3",-4,-64.5
"3",-3,-63.5
"3",-2,-62.5
"3",-1,-61.5
