,lat,lon,speed,u10,v10,dir
64440,89.5,-180.0,1.7129927,0.527219,0.5640703,43.06594
64441,89.5,-179.0,1.7099432,0.5366562,0.5546534,44.055202
64442,89.5,-178.0,1.7069855,0.5460932,0.5450712,45.053665
64443,89.5,-177.0,1.7047176,0.55568486,0.5354891,46.06033
64444,89.5,-176.0,1.703022,0.5652767,0.5260722,47.05735
64445,89.5,-175.0,1.7015079,0.57471365,0.5163248,48.063366
64446,89.5,-174.0,1.7003895,0.583996,0.5067427,49.0513
64447,89.5,-173.0,1.699767,0.59389716,0.49716055,50.06678
64448,89.5,-172.0,1.6947708,0.60116833,0.4867524,51.003693
64449,89.5,-171.0,1.6887355,0.60843956,0.47485733,52.029705
64450,89.5,-170.0,1.6829948,0.61571074,0.46279708,53.06976
64451,89.5,-169.0,1.6777773,0.6228272,0.45090201,54.096962
64452,89.5,-168.0,1.6728106,0.6300983,0.43884173,55.14412
64453,89.5,-167.0,1.6683306,0.6370601,0.42678154,56.180943
64454,89.5,-166.0,1.6642593,0.64433116,0.41472125,57.2328
64455,89.5,-165.0,1.6607724,0.6516023,0.40266097,58.285797
64456,89.5,-164.0,1.6575527,0.6587188,0.39043555,59.34395
64457,89.5,-163.0,1.6549006,0.66583544,0.3785405,60.380924
64458,89.5,-162.0,1.6525803,0.6729517,0.36614987,61.449596
64459,89.5,-161.0,1.6510273,0.6799135,0.3540895,62.490128
64460,89.5,-160.0,1.6495724,0.68687534,0.341864,63.540062
64461,89.5,-159.0,1.6484782,0.6936824,0.3296386,64.582886
64462,89.5,-158.0,1.6454226,0.6986329,0.31890002,65.46506
64463,89.5,-157.0,1.6394814,0.7037382,0.30568328,66.521286
64464,89.5,-156.0,1.6338577,0.7089984,0.29246655,67.58353
64465,89.5,-155.0,1.628815,0.71425825,0.2792499,68.64625
64466,89.5,-154.0,1.6239595,0.7193634,0.2661983,69.69315
64467,89.5,-153.0,1.6199499,0.7247782,0.25281635,70.77026
64468,89.5,-152.0,1.61586,0.72988343,0.23959963,71.82649
64469,89.5,-151.0,1.6125866,0.73529816,0.22621767,72.89926
64470,89.5,-150.0,1.6095958,0.740094,0.21316624,73.932236
64471,89.5,-149.0,1.6069188,0.745354,0.19961905,75.00703
64472,89.5,-148.0,1.6051573,0.75092345,0.18656754,76.047325
64473,89.5,-147.0,1.6034006,0.7560287,0.17335089,77.0858
64474,89.5,-146.0,1.6021179,0.76113397,0.15996893,78.13079
64475,89.5,-145.0,1.6014465,0.7663941,0.1467522,79.15999
64476,89.5,-144.0,1.6005726,0.77103525,0.13436158,80.11483
64477,89.5,-143.0,1.5946139,0.7733558,0.12131003,81.08512
64478,89.5,-142.0,1.5891293,0.77536696,0.10743245,82.111496
64479,89.5,-141.0,1.5842257,0.7778422,0.09355489,83.1417
64480,89.5,-140.0,1.5795097,0.7801628,0.07951208,84.180664
64481,89.5,-139.0,1.5751524,0.7824834,0.06563457,85.20526
64482,89.5,-138.0,1.5714898,0.78480405,0.051591795,86.23888
