,geometry,weight
0,"LINESTRING (-0.2 -73.5, -12.7 -65.1)",10
1,"LINESTRING (-12.7 -65.1, -4.9 -56.1)",10
2,"LINESTRING (-4.9 -56.1, 3.1 -48.1)",10
3,"LINESTRING (3.1 -48.1, 11 -40.1)",10
4,"LINESTRING (11 -40.1, 14.1 -31.1)",10
5,"LINESTRING (14.1 -31.1, 7.6 -23.2)",10
6,"LINESTRING (7.6 -23.2, 0.3 -16.4)",10
7,"LINESTRING (0.3 -16.4, -7 -9.9)",10
8,"LINESTRING (-7 -9.9, -14.4 -3.7)",10
9,"LINESTRING (-14.4 -3.7, -21.5 3.1)",10
10,"LINESTRING (-21.5 3.1, -28.5 10)",10
11,"LINESTRING (-28.5 10, -35.6 16.9)",10
12,"LINESTRING (-35.6 16.9, -43 24.045454545454547)",10
13,"LINESTRING (-43 24.045454545454547, -42.1 33.7)",10
14,"LINESTRING (-42.1 33.7, -32.92857142857143 43.07142857142857)",10
15,"LINESTRING (-32.92857142857143 43.07142857142857, -19.745098039215687 54.40196078431372)",8
16,"LINESTRING (-19.745098039215687 54.40196078431372, -0.9272727272727272 56.08181818181818)",26
17,"LINESTRING (-0.9272727272727272 56.08181818181818, -19.745098039215687 54.40196078431372)",18
18,"LINESTRING (-32.92857142857143 43.07142857142857, -0.9272727272727272 56.08181818181818)",2
