,geometry,weight
0,"LINESTRING (-0.1 -73.5, -6.3 -64.5)",10
1,"LINESTRING (-6.3 -64.5, 0.5 -55.5)",8
2,"LINESTRING (0.5 -55.5, 5 -46.875)",8
3,"LINESTRING (5 -46.875, 8.5 -37.875)",8
4,"LINESTRING (8.5 -37.875, 9 -28.25)",8
5,"LINESTRING (9 -28.25, 1 -18.5)",4
6,"LINESTRING (1 -18.5, -2.625 -12.875)",4
7,"LINESTRING (-2.625 -12.875, -10 -5.388888888888889)",7
8,"LINESTRING (-10 -5.388888888888889, -18 1.2777777777777777)",7
9,"LINESTRING (-18 1.2777777777777777, -18.5 10.4)",9
10,"LINESTRING (-18.5 10.4, -19 20)",10
11,"LINESTRING (-19 20, -17.6 29.4)",10
12,"LINESTRING (-17.6 29.4, -17.5 40.166666666666664)",10
13,"LINESTRING (-17.5 40.166666666666664, -14.263157894736842 49.6578947368421)",10
14,"LINESTRING (-14.263157894736842 49.6578947368421, -2.7058823529411766 57.73529411764706)",10
15,"LINESTRING (-6.3 -64.5, -15.5 -56)",2
16,"LINESTRING (-15.5 -56, -20 -47.5)",2
17,"LINESTRING (-20 -47.5, -21 -38.5)",2
18,"LINESTRING (-21 -38.5, -20.5 -29)",2
19,"LINESTRING (-20.5 -29, -21 -19)",2
20,"LINESTRING (-21 -19, -21.5 -9.5)",2
21,"LINESTRING (-21.5 -9.5, -18 1.2777777777777777)",2
22,"LINESTRING (9 -28.25, 4.285714285714286 -20.214285714285715)",4
23,"LINESTRING (4.285714285714286 -20.214285714285715, -2.625 -12.875)",3
24,"LINESTRING (4.285714285714286 -20.214285714285715, 1 -18.5)",1
25,"LINESTRING (1 -18.5, -10 -5.388888888888889)",1
26,"LINESTRING (-10 -5.388888888888889, -18.5 10.4)",1
